"Iteration","Tested_Variable","Current_Model_Formula","Bandwidth","AIC","AICc","R2","Status","Error_Msg","Status_Selected"
1,"elevation_range","count ~ elevation_range",191,75798.3427128447,75813.9798079354,0.277205407283631,"ok",NA,"not_selected"
1,"elevation_max","count ~ elevation_max",2071,75186.0593033611,75186.1631548902,0.241398595728403,"ok",NA,"not_selected"
1,"gradient","count ~ gradient",72,72662.003615611,72758.5359163664,0.603974529380152,"ok",NA,"not_selected"
1,"Rural_settlement_distances","count ~ Rural_settlement_distances",290,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
1,"Small_urban_distances","count ~ Small_urban_distances",181,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
1,"trail_density_400m","count ~ trail_density_400m",56,72141.6383338566,72280.2921074945,0.617008705038241,"ok",NA,"SELECTED"
1,"Forest_proportion","count ~ Forest_proportion",752,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
1,"Grassland_proportion","count ~ Grassland_proportion",752,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
1,"Scrubland_proportion","count ~ Scrubland_proportion",467,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
1,"Water_Bodies_proportion","count ~ Water_Bodies_proportion",2248,75423.7530536574,75423.8401060494,0.214463439583008,"ok",NA,"not_selected"
1,"degree_centrality","count ~ degree_centrality",104,72883.056780671,72933.681832316,0.519536092184621,"ok",NA,"not_selected"
1,"closeness_centrality","count ~ closeness_centrality",181,73010.5406063851,73022.9723918895,0.492658910443746,"ok",NA,"not_selected"
1,"eateries_distance","count ~ eateries_distance",4844,76421.4408691102,76421.4502644984,0.0803301923902817,"ok",NA,"not_selected"
1,"parking_distance","count ~ parking_distance",104,72597.8872348922,72637.0366981485,0.54733303740172,"ok",NA,"not_selected"
1,"distance_to_road","count ~ distance_to_road",3458,75724.8785123584,75724.9184062253,0.173883309264061,"ok",NA,"not_selected2"
2,"elevation_max","count ~ trail_density_400m + elevation_max",130,72658.8235904293,72695.1703232145,0.529152529826647,"ok",NA,"SELECTED"
2,"gradient","count ~ trail_density_400m + gradient",98,72713.2636108682,72793.7404268782,0.544317897061037,"ok",NA,"not_selected"
2,"Rural_settlement_distances","count ~ trail_density_400m + Rural_settlement_distances",467,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
2,"Small_urban_distances","count ~ trail_density_400m + Small_urban_distances",752,Inf,Inf,Inf,"ok",NA,"not_selected"
2,"Forest_proportion","count ~ trail_density_400m + Forest_proportion",752,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
2,"Grassland_proportion","count ~ trail_density_400m + Grassland_proportion",752,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
2,"Scrubland_proportion","count ~ trail_density_400m + Scrubland_proportion",467,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
2,"Water_Bodies_proportion","count ~ trail_density_400m + Water_Bodies_proportion",2424,75192.621499979,75192.7448621727,0.243875943066089,"ok",NA,"not_selected"
2,"degree_centrality","count ~ trail_density_400m + degree_centrality",123,72827.2044200335,72881.3086490508,0.51968132177544,"ok",NA,"not_selected"
2,"closeness_centrality","count ~ trail_density_400m + closeness_centrality",264,73240.1857389123,73250.2511035489,0.476295150186703,"ok",NA,"not_selected"
2,"eateries_distance","count ~ trail_density_400m + eateries_distance",4844,76291.8843727421,76291.901099803,0.100023876890152,"ok",NA,"not_selected"
2,"parking_distance","count ~ trail_density_400m + parking_distance",114,114572.650927951,64502.3825599476,2.67934687648204,"ok",NA,"not_selected"
2,"distance_to_road","count ~ trail_density_400m + distance_to_road",2886,75219.4886931319,75219.5867630798,0.239363234004983,"ok",NA,"not_selected"
3,"elevation_range","count ~ trail_density_400m + elevation_max + elevation_range",223,150990.463936581,151012.536406172,0.18394150110742,"ok",NA,"not_selected"
3,"gradient","count ~ trail_density_400m + elevation_max + gradient",72,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
3,"Rural_settlement_distances","count ~ trail_density_400m + elevation_max + Rural_settlement_distances",467,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
3,"Small_urban_distances","count ~ trail_density_400m + elevation_max + Small_urban_distances",3920,75299.9650388131,75300.0382058484,0.230191393251127,"ok",NA,"not_selected"
3,"degree_centrality","count ~ trail_density_400m + elevation_max + degree_centrality",123,587874.680899829,587945.843981104,0.592558327685419,"ok",NA,"not_selected"
3,"toilets_distance","count ~ trail_density_400m + elevation_max + toilets_distance",98,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
3,"closeness_centrality","count ~ trail_density_400m + elevation_max + closeness_centrality",274,72931.4061098789,72944.4678172207,0.502251648389974,"ok",NA,"SELECTED"
3,"eateries_distance","count ~ trail_density_400m + elevation_max + eateries_distance",4844,76073.2276032689,76073.2531876988,0.129347310349488,"ok",NA,"not_selected"
3,"parking_distance","count ~ trail_density_400m + elevation_max + parking_distance",181,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
3,"distance_to_road","count ~ trail_density_400m + elevation_max + distance_to_road",2886,75085.3373309703,75085.4955220682,0.254275604353389,"ok",NA,"not_selected"
4,"elevation_range","count ~ trail_density_400m + elevation_max + closeness_centrality +      elevation_range",290,72965.3923146362,72983.7990818406,0.502611766520094,"ok",NA,"not_selected"
4,"gradient","count ~ trail_density_400m + elevation_max + closeness_centrality +      gradient",114,Inf,Inf,Inf,"ok",NA,"not_selected"
4,"Rural_settlement_distances","count ~ trail_density_400m + elevation_max + closeness_centrality +      Rural_settlement_distances",752,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
4,"Small_urban_distances","count ~ trail_density_400m + elevation_max + closeness_centrality +      Small_urban_distances",752,Inf,Inf,Inf,"ok",NA,"not_selected"
4,"degree_centrality","count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality",264,72873.3140754354,72895.2815445656,0.51003495710027,"ok",NA,"SELECTED"
4,"toilets_distance","count ~ trail_density_400m + elevation_max + closeness_centrality +      toilets_distance",114,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
4,"eateries_distance","count ~ trail_density_400m + elevation_max + closeness_centrality +      eateries_distance",4844,75432.0318154264,75432.0725183023,0.213170790526506,"ok",NA,"not_selected"
4,"parking_distance","count ~ trail_density_400m + elevation_max + closeness_centrality +      parking_distance",290,723440993.427332,702340201.789778,1.03059277555476,"ok",NA,"not_selected"
4,"distance_to_road","count ~ trail_density_400m + elevation_max + closeness_centrality +      distance_to_road",2601,74692.0334535243,74692.3084154754,0.304390511043543,"ok",NA,"not_selected"
5,"elevation_range","count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + elevation_range",264,72832.1502922998,72863.7383989795,0.517153275645642,"ok",NA,"not_selected"
5,"gradient","count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + gradient",233,1460061.61141799,1460100.85550647,0.532162470340299,"ok",NA,"not_selected"
